DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
06/01/14 00,0.509729922,2.049002886,3.191145182,2.792634249,2.656090975,5.316830635,1.562320828,98.9984436,1,99.01815033,1,0,0,35.53668594,1,0,0,0,0,49.80932999,1,34.350811,1,0,0,30.51271248,1,0,0,81.60540771,1,2.974052906,33.50603104,26.4264946,87.60577393,26.49560547,84.20661926,18.90167618,81.98373413,18.79177666,67.12560272,29.38747025,28.48747063,0
06/01/14 01,0.41258049,2.009071827,3.642565489,2.831672668,3.126387358,5.494855404,1.852042913,99.09590149,1,99.11563873,1,0,0,34.45491409,1,0,0,0,0,48.92192459,1,34.21959305,1,0,0,30.4804554,1,0,0,81.18103027,1,2.974005461,33.45324707,26.42296219,89.44834137,26.48732567,85.90008545,18.84932899,82.15058899,18.7396431,67.17869568,29.35425568,28.45425606,0
06/01/14 02,0.320111841,1.986092925,4.140191555,3.256733179,3.574600697,5.5,2.246126175,98.42095947,1,98.44049835,1,0,0,33.48709106,1,0,0,0,0,48.55584335,1,33.56036377,1,0,0,29.06835175,1,0,0,83.64331055,1,2.974332571,33.81841278,26.42777061,91.0561142,26.48736382,86.58247375,19.59716988,83.9885788,19.49671173,72.42529297,29.35453796,28.45453835,0
06/01/14 03,0.332878858,2.009203434,4.673478127,3.744497061,3.952379227,5.5,3.203572989,97.57517242,1,97.59445953,1,0,0,32.58554459,1,0,0,0,0,47.82322693,1,0,0,0,0,29.89004517,1,0,0,87.65740204,1,2.974739552,34.27474976,26.5199852,92.59435272,26.5758152,88.02054596,26.02848625,64.67048645,25.92270279,76.27503967,29.44995117,28.54995155,0
06/01/14 04,0.483495772,2.089049101,5.237936974,4.409456253,3.504675627,5.5,4.439714432,97.35105896,1,97.3702774,1,0,0,31.46967697,1,0,0,0,0,46.55867767,1,0,0,0,0,29.81277084,1,0,0,88.07423401,1,2.97484684,34.39543533,26.6716423,94.47309875,26.72345734,90.42246246,26.20997047,64.74662018,26.10469246,76.70352936,29.57426453,28.674263,0
06/01/14 05,0.791114032,2.77317667,5.15580225,3.937262058,3.19152832,5.322743416,3.988905907,94.13546753,1,94.15374756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.40576935,1,2.976363897,36.11598206,31.44314575,76.84895325,31.44314575,67.83269501,30.36624718,64.36988068,30.36624718,60.32940674,33.74939346,32.84939194,0
06/01/14 06,1.186589003,3.536068201,4.983953476,3.018010616,2.859591007,5.066728115,2.977463007,95.25800323,1,95.27661133,1,0,0,0,0,0,0,0,0,49.5479393,1,0,0,0,0,0,0,0,0,84.01919556,1,2.975839376,35.5177002,29.25906372,75.70381165,29.21922302,87.43560028,30.00442505,63.33380508,30.00442505,58.60633469,31.80887032,30.90886879,0
06/01/14 07,1.420448899,3.872925758,4.747457504,3.581882238,2.359944105,5.152646065,2.95374155,96.94745636,1,96.96656036,1,0,0,0,0,0,0,0,0,49.83115005,1,0,0,0,0,32.24778366,1,0,0,75.16135406,1,2.975039721,34.61251831,29.20037842,73.61756897,29.16011429,86.8290863,26.53645515,62.23184586,26.41470146,68.80860901,31.70034027,30.80034065,0
06/01/14 08,1.534827471,4.138433933,4.417932034,3.959265471,1.748312831,5.395834923,3.228595972,96.97029114,1,96.98940277,1,0,0,0,0,0,0,0,0,48.48987961,1,0,0,0,0,32.15102005,1,0,0,73.37532806,1,2.975028753,34.60024261,29.45839691,74.18225098,29.42012024,89.64471436,26.60562325,60.65614319,26.48454475,69.22171783,31.93944168,31.03944016,0
06/01/14 09,1.576541185,4.500040054,4.130156517,4.232002258,1.666736722,5.5,3.628677845,97.15647125,1,97.17563629,1,0,0,0,0,0,0,0,0,0,0,35.23088074,1,0,0,30.508564,1,0,0,53.89101791,1,2.974939823,34.50013733,31.57065392,69.40607452,31.57065392,61.3139267,19.89655304,81.4701004,19.78668022,68.13332367,33.78266144,32.88265991,0
